brand,features_bullets,page,price,rating,seller,title,total_rating,url
Marca: Sanpyl," MEMÓRIA GDDR5 de 8 GB: A placa de vídeo RX 580 possui um poderoso poder de processamento gráfico com velocidade de GPU de 1284 MHz e memória de jogo de alto desempenho de até 7000 MHz para uma experiência de jogo e aplicativo mais suave.  ; SAÍDA: A placa gráfica está equipada com DP, Interface multimídia de alta definição, portas de saída DVI D, suporta HD, resolução 4K de saída de 60Hz, melhora muito o desempenho do jogo e pode suportar sem problemas vários jogos 1080P 3A.  ; PCI EXPRESS 3.0: placa gráfica de 8 GB adota slot para placa gráfica PCI Express 3.0, que é plug and play, fácil de usar e tem bom desempenho. Ao mesmo tempo, é equipado com chip de processador de fluxo 2048, que é durável e prático, e tem uma longa vida útil.  ; 2 VENTILADORES DE REFRIGERAÇÃO: A placa gráfica de 256 bits possui dois ventiladores de resfriamento para fornecer mais fluxo de ar para uma experiência de jogo fria e silenciosa, componentes elétricos de excelente qualidade e placa PCB garantem sua segurança e estabilidade.  ; BOM DESEMPENHO: A placa gráfica para jogos é a verdadeira nova placa inicial para CAD 3D, CAM, edição de vídeo e imagem, jogos. Se você tiver espaço em um gabinete de desktop, poderá executar monitores duplos e funcionará muito bem.  ",sr_pg_1,512,"4,1 de 5 estrelas",BAOSHEN-US,"        Placa de vídeo para jogos RX 580, 8 GB GDDR5 256 bits, PCI Express 3.0x16, Placas de vídeo para PC com GPU de computador com ventoinha dupla, HDMI, DP, DisplayPort, DVI       ",26 avaliações de clientes,https://www.amazon.com.br/Express-3-0x16-computador-ventoinha-DisplayPort/dp/B0B8YN2ST7/ref=sr_1_18?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=QUTTF0P2CI5B&keywords=placa+de+video&qid=1696076626&s=computers&sprefix=placa+de+video%2Caps%2C84&sr=1-18&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
Marca: Galax," Memory Specs: Memory Speed 8 Gbps Memory Interface Width 192-bit GDDR5 Memory Bandwidth (GB/sec) 192  ; Display Support: Multi Monitor 3 Displays Standard Display Connectors DP 1.4 HDMI 2.0b, Dual Link-DVI  ; Standard Graphics Card Dimensions: Dimensions(with Bracket) 228x131.5x41.5 mm Dimensions(without Bracket) 214x118.65x38.6 mm  ",sr_pg_1,1.399,"4,9 de 5 estrelas",D&V INFORMATICA,"        Placa de Vídeo GALAX - GeForce GTX 1660 OC, 6GB GDDR5       ",447 avaliações de clientes,https://www.amazon.com.br/Placa-V%C3%ADdeo-NVIDIA-1660-GALAX/dp/B07Q1358K1/ref=sr_1_19?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=QUTTF0P2CI5B&keywords=placa+de+video&qid=1696076626&s=computers&sprefix=placa+de+video%2Caps%2C84&sr=1-19&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
Marca: Vbestlife," Memória GDDR5 de 8 GB: A placa de vídeo RX 580 possui um poderoso poder de processamento gráfico com velocidade de GPU de 1284 MHz e memória de jogo de alto desempenho de até 7000 MHz para uma experiência de jogo e aplicativo mais suave.  ; Boa experiência: a placa gráfica está equipada com DP, interface multimídia de alta definição, portas de saída DVI D, suporta HD, resolução 4K de saída de 60Hz, melhora muito o desempenho do jogo e pode suportar sem problemas vários jogos 1080p 3a.  ; PCI Express 3.0: placa gráfica de 8 GB adota slot para placa gráfica PCI Express 3.0, que é plug and play, fácil de usar e tem bom desempenho. Ao mesmo tempo, é equipado com chip de processador de fluxo 2048, que é durável e prático, e tem uma longa vida útil.  ; 2 ventoinhas de resfriamento: a placa gráfica de 256 bits possui duas ventoinhas de resfriamento para fornecer mais fluxo de ar para uma experiência de jogo fria e silenciosa, componentes elétricos de excelente qualidade e placa PCB garantem sua segurança e estabilidade.  ; Bom desempenho: a placa gráfica para jogos é a nova placa inicial para CAD 3D, CAM, edição de vídeo e imagem, jogos. Se você tiver espaço em um gabinete de desktop, poderá executar monitores duplos e funcionará muito bem.  ",sr_pg_1,479,"4,1 de 5 estrelas",BAOSHEN-US,"        Placa gráfica para jogos RX 580, Dual Fan 256bit 8GB GDDR5, resolução 4K de saída de 60Hz, 16 placas gráficas para jogos PCI Express 3.0 para Home Office       ",28 avaliações de clientes,https://www.amazon.com.br/gr%C3%A1fica-256bit-resolu%C3%A7%C3%A3o-gr%C3%A1ficas-Express/dp/B0B911VLTV/ref=sr_1_16?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=QUTTF0P2CI5B&keywords=placa+de+video&qid=1696076626&s=computers&sprefix=placa+de+video%2Caps%2C84&sr=1-16&ufe=app_do%3Aamzn1.fos.4bddec23-2dcf-4403-8597-e1a02442043d
,,sr_pg_1,,,,,,https://www.amazon.com.br/MSI-GTX-1650-Ventus-XS/dp/B08GQ29HRP/ref=sr_1_9_mod_primary_new?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=QUTTF0P2CI5B&keywords=placa+de+video&qid=1696076626&s=computers&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=placa+de+video%2Caps%2C84&sr=1-9
Visite a loja PCYES, Chipset: GT218  ; Cuda: 16SP  ; Clock de Memória: 1000MHz  ; Permite 2 Monitores simultâneos  ; Saídas: 1xHDMI; 1 DVI-I E 1 VGA  ,sr_pg_1,195,"4,5 de 5 estrelas",TECHNOCENTER INFORMATICA,        PLACA DE VIDEO NVIDIA GEFORCE G 210 1GB DDR3 64 BITS COM KIT LOW PROFILE INCLUSO - PA210G6401D3LP - PCYES       ,417 avaliações de clientes,https://www.amazon.com.br/PLACA-NVIDIA-GEFORCE-PROFILE-INCLUSO/dp/B07RYMMW6Y/ref=sr_1_24?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=QUTTF0P2CI5B&keywords=placa+de+video&qid=1696076626&s=computers&sprefix=placa+de+video%2Caps%2C84&sr=1-24&ufe=app_do%3Aamzn1.fos.6121c6c4-c969-43ae-92f7-cc248fc6181d
,,sr_pg_1,,,,,,https://www.amazon.com.br/RTX3060-1-CLICK-192BITS-Galax-36NOL7MD1VOC/dp/B092CNSSV5/ref=sr_1_6?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=QUTTF0P2CI5B&keywords=placa+de+video&qid=1696076626&s=computers&sprefix=placa+de+video%2Caps%2C84&sr=1-6&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
,,sr_pg_1,,,,,,https://www.amazon.com.br/Placa-Mancer-Heimdall-192-bit-MCR-GTX1660S-HDLL/dp/B0CGZ5KZ9Z/ref=sr_1_5?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=QUTTF0P2CI5B&keywords=placa+de+video&qid=1696076626&s=computers&sprefix=placa+de+video%2Caps%2C84&sr=1-5&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
,,sr_pg_1,,,,,,https://www.amazon.com.br/Placa-Mancer-Radeon-128-bit-Mcr-rx5504gd5-v4/dp/B0B3N6K5GS/ref=sr_1_7?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=QUTTF0P2CI5B&keywords=placa+de+video&qid=1696076626&s=computers&sprefix=placa+de+video%2Caps%2C84&sr=1-7&ufe=app_do%3Aamzn1.fos.e05b01e0-91a7-477e-a514-15a32325a6d6
,,sr_pg_1,,,,,,https://www.amazon.com.br/Placa-V%C3%ADdeo-NVIDIA-GeForce-60SRL7DSY91S/dp/B0816YTVQC/ref=sr_1_3?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=QUTTF0P2CI5B&keywords=placa+de+video&qid=1696076626&s=computers&sprefix=placa+de+video%2Caps%2C84&sr=1-3&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
Visite a loja PCYES, Chipset: GP107  ; Cuda core: 768  ; Quantidade de Memória: 4GB  ; Tipo de Memória: DDR5  ; Saídas de Vídeo: DP + HDMI + DVI  ,sr_pg_1,910,"4,0 de 5 estrelas",,        PLACA DE VIDEO NVIDIA GEFORCE GTX 1050 TI 4GB GDDR5 128 BITS DUAL-FAN GRAFFITI SERIES - PVGTX1050TI4GBR5128 – PCYES       ,1 classificação,https://www.amazon.com.br/PLACA-NVIDIA-GEFORCE-DUAL-FAN-GRAFFITI/dp/B0BYKGYSBT/ref=sr_1_11?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=QUTTF0P2CI5B&keywords=placa+de+video&qid=1696076626&s=computers&sprefix=placa+de+video%2Caps%2C84&sr=1-11&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
Marca: Galax, Placas de Vídeo  ; Computadores e Informática; Categorias; Peças e Componentes; Placas de Vídeo  ; Uma opção para deixar dias mais bonitas.  ; Tipo do produto: VIDEO_CARD  ,sr_pg_1,1.869,"4,7 de 5 estrelas",ITX-GAMER,        Placa de Video RTX 3060 8GB 1-CLICK OC GDDR6 128BITS GALAX 36NSL8MD6OCC       ,52 avaliações de clientes,https://www.amazon.com.br/RTX3060-1-CLICK-GDDR6-128BITS-36NSL8MD6OCC/dp/B0BMNWLG2F/ref=sr_1_10?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=QUTTF0P2CI5B&keywords=placa+de+video&qid=1696076626&s=computers&sprefix=placa+de+video%2Caps%2C84&sr=1-10&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
Visite a loja Zopsc," Memória GDDR5 de 8 GB: A placa gráfica RX 580 possui um poderoso poder de processamento gráfico com velocidade de GPU de 1284 MHz e memória de jogos de alto desempenho de até 7000 MHz para uma experiência de jogo e aplicação mais suave.  ; Boa experiência: a placa gráfica está equipada com DP, interface multimídia de alta definição, portas de saída DVI D, suporta HD, resolução 4K de saída de 60Hz, melhora muito o desempenho do jogo e pode suportar vários jogos 1080P 3A sem problemas.  ; PCI Express 3.0: placa gráfica de 8 GB adota slot para placa gráfica PCI Express 3.0, que é plug and play, fácil de usar e tem bom desempenho. Ao mesmo tempo, é equipado com chip de processador de fluxo 2048, que é durável e prático e tem uma longa vida útil.  ; 2 Ventiladores de resfriamento: a placa gráfica de 256 bits possui ventiladores de resfriamento duplos para fornecer mais fluxo de ar para uma experiência de jogo fria e silenciosa, componentes elétricos de excelente qualidade e placa PCB garantem sua segurança e estabilidade.  ; Bom desempenho: a placa gráfica para jogos é a nova placa inicial para CAD 3D, CAM, edição de vídeo e imagem, jogos. Se você tiver espaço em um gabinete de mesa, poderá executar monitores duplos nele e funcionará muito bem.  ",sr_pg_1,417,"5,0 de 5 estrelas",Pabulum Phyllis,"        RX 580 8GB GDDR5 256bit Graphics Card, 2 Cooling Fans Placa de Vídeo para Jogos de Alto Desempenho Com PCIE 3.0, 3 X DP, HDMI, DVI       ",1 classificação,https://www.amazon.com.br/GDDR5-256bit-Graphics-Cooling-Desempenho/dp/B0CFM5K4T7/ref=sr_1_8?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=QUTTF0P2CI5B&keywords=placa+de+video&qid=1696076626&s=computers&sprefix=placa+de+video%2Caps%2C84&sr=1-8&ufe=app_do%3Aamzn1.fos.e05b01e0-91a7-477e-a514-15a32325a6d6
Visite a loja PCYES, Chipset: GT210  ; Cuda core: 16  ; Quantidade de Memória: 1GB  ; Tipo de Memória: DDR3  ; Saídas de vídeo: DVI + HDMI + VGA  ,sr_pg_1,159,"5,0 de 5 estrelas",TNTinfoLoja,        PLACA DE VIDEO NVIDIA GEFORCE G 210 1GB DDR3 64 BITS LOW PROFILE - PVG2101GBR364LP – PCYES       ,2 avaliações de clientes,https://www.amazon.com.br/PLACA-VIDEO-NVIDIA-GEFORCE-PROFILE/dp/B0BYKGMJMW/ref=sr_1_4?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=QUTTF0P2CI5B&keywords=placa+de+video&qid=1696076626&s=computers&sprefix=placa+de+video%2Caps%2C84&sr=1-4&ufe=app_do%3Aamzn1.fos.6121c6c4-c969-43ae-92f7-cc248fc6181d
Marca: Galax," Conectividade Conectores de vídeo padrão DP 1.4, HDMI Interface de Memória 128 bits Largura de Banda da Memória (GB/seg) 192 Consumo [W] Potência máxima da placa gráfica (W) 90 Formato e Medidas [mm] Dimensões (com suporte) 215*126*39 mm Di Interface Largura da interface de memória GDDR6 Barramento GDDR6  ",sr_pg_1,949,"4,7 de 5 estrelas",Loja STI Computadores Joinville,        Placa de Video Galax GTX 1650 EX OC NVIDIA 65SQL8DS93E1i       ,192 avaliações de clientes,https://www.amazon.com.br/Placa-Video-Galax-NVIDIA-65SQL8DS93E1i/dp/B08FDYYMWX/ref=sr_1_2?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=QUTTF0P2CI5B&keywords=placa+de+video&qid=1696076626&s=computers&sprefix=placa+de+video%2Caps%2C84&sr=1-2&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
